Nama_Artikel,Nama_Toko,Bulan_Tahun,Total_Qty_PCS
"CARGO SHORT,""GALERIA BIP BANDUNG"",202301,2"
"SHORT SLEEVE POLO SHIRT,""GALERIA BIP BANDUNG"",202301,2"
"5 POCKET SHORT DENIM,""GALERIA BIP BANDUNG"",202301,3"
"TRUCKER JACKET,""GALERIA BIP BANDUNG"",202301,3"
"CHINO SHORT,""GALERIA BIP BANDUNG"",202301,8"
"HOODIE JACKET REGULAR,""GALERIA BIP BANDUNG"",202301,9"
"HENLEY SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,9"
"CARGO PANT,""GALERIA BIP BANDUNG"",202301,10"
"SHORT SLEEVE T-SHIRT  (CREW NECK),""GALERIA BIP BANDUNG"",202301,14"
"5 POCKET PANT DENIM SUPER SKINNY,""GALERIA BIP BANDUNG"",202301,16"
"5 POCKET PANT PIECE DYED REGULAR,""GALERIA BIP BANDUNG"",202301,18"
"CARGO SHORT REGULAR,""GALERIA BIP BANDUNG"",202301,23"
"LONG SLEEVE SHIRT,""GALERIA BIP BANDUNG"",202301,23"
"TRUCKER JACKET REGULAR,""GALERIA BIP BANDUNG"",202301,27"
"SWEAT SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,31"
"5 POCKET SHORT DENIM REGULAR,""GALERIA BIP BANDUNG"",202301,34"
"CHINO PANT REGULAR,""GALERIA BIP BANDUNG"",202301,37"
"SHORT SLEEVE SHIRT,""GALERIA BIP BANDUNG"",202301,40"
"CHINO SHORT REGULAR,""GALERIA BIP BANDUNG"",202301,63"
"CHINO PANT SLIM,""GALERIA BIP BANDUNG"",202301,70"
"5 POCKET PANT DENIM SKINNY,""GALERIA BIP BANDUNG"",202301,84"
"SHORT SLEEVE KOKO SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,95"
"SHORT SLEEVE POLO SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,98"
"5 POCKET PANT DENIM SLIM,""GALERIA BIP BANDUNG"",202301,108"
"SHORT SLEEVE T-SHIRT  (CREW NECK) REGULAR,""GALERIA BIP BANDUNG"",202301,151"
"SHORT SLEEVE SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,173"
"LONG SLEEVE SHIRT REGULAR,""GALERIA BIP BANDUNG"",202301,240"
"5 POCKET PANT DENIM,""GALERIA BIP BANDUNG"",202301,268"
"5 POCKET PANT PIECE DYED,""GALERIA BIP BANDUNG"",202301,370"
"CHINO PANT,""GALERIA BIP BANDUNG"",202301,400"
"LONG SLEEVE T-SHIRT (CREW NECK) REGULAR,""GALERIA BIP BANDUNG"",202302,5"
"LONG SLEEVE KOKO SHIRT REGULAR,""GALERIA BIP BANDUNG"",202302,71"
"5 POCKET PANT DENIM REGULAR,""GALERIA BIP BANDUNG"",202303,54"
"SHORT SLEEVE T-SHIRT (CREW NECK) REGULAR,""GALERIA BIP BANDUNG"",202304,2"
"LONG SLEEVE POLO SHIRT REGULAR,""GALERIA BIP BANDUNG"",202310,1"
"BOOMBER JACKET SLIM,""GALERIA BIP BANDUNG"",202310,2"
