Nama_Fitting,Bulan,Total_Rp_Penjualan
BOOTCUT,1,249000.00
BOOTCUT,2,1743000.00
BOOTCUT,3,4031800.00
BOOTCUT,4,3832800.00
BOOTCUT,5,398000.00
COMFORT,3,271600.00
COMFORT,4,271600.00
COMFORT,7,199000.00
REGULAR,1,40818900.00
REGULAR,2,42559910.00
REGULAR,3,70929500.00
REGULAR,4,192403000.00
REGULAR,5,24082700.00
REGULAR,6,31606400.00
REGULAR,7,24409900.00
REGULAR,8,22982900.00
REGULAR,9,26333070.00
REGULAR,10,31004200.00
SKINNY,1,998900.00
SKINNY,2,2596900.00
SKINNY,3,5473300.00
SKINNY,4,21719300.00
SKINNY,5,1009300.00
SKINNY,6,5223700.00
SKINNY,7,900000.00
SKINNY,8,1605200.00
SKINNY,9,3434600.00
SKINNY,10,2523000.00
SLIM,1,9216200.00
SLIM,2,8416900.00
SLIM,3,24220300.00
SLIM,4,65596000.00
SLIM,5,8640100.00
SLIM,6,9049600.00
SLIM,7,12533400.00
SLIM,8,14434000.00
SLIM,9,15611800.00
SLIM,10,9351800.00
"SUPER SKINNY",1,559300.00
"SUPER SKINNY",2,1118600.00
"SUPER SKINNY",4,4950000.00
"SUPER SKINNY",8,450000.00
"SUPER SKINNY",9,450000.00
