"Nama Mark",Bulan,"Total Qty PCS"
"DISC 37%",9,1
"DISC 50%",1,8
"DISC 50%",2,1
"DISC 50%",3,1
"DISC 50%",4,1
"DISC 50%",5,2
"DISC 50%",6,1
"DISC 50%",9,1
"DISC 50%",10,3
NORMAL,1,115
NORMAL,2,140
NORMAL,3,182
NORMAL,4,531
NORMAL,5,64
NORMAL,6,89
NORMAL,7,66
NORMAL,8,67
NORMAL,9,85
NORMAL,10,115
"SP 199",7,3
"SP 249",1,46
"SP 249",2,37
"SP 249",3,216
"SP 249",4,329
"SP 249",5,12
"SP 259",10,1
"SP 279",6,16
"SP 279",7,11
"SP 279",8,29
"SP 279",9,19
"SP 279",10,16
"SP 299",6,17
"SP 299",7,32
"SP 299",8,29
"SP 299",9,33
"SP 299",10,12
"SP 340",4,31
"SP 340",5,7
"SP 340",6,4
"SP 390",4,42
"SP 390",5,9
"SP 390",6,3
"SP 390",7,1
"SP 390",8,1
"SP 390",9,3
"SP 390",10,6
"SP 430",10,1
"SP 450",4,74
"SP 450",5,10
"SP 450",6,11
"SP 450",7,11
"SP 450",8,5
"SP 450",9,8
"SP 450",10,6
