"Nama Mark",Bulan,Total_Rp_Penjualan
"DISC 37%",9,121370.00
"DISC 50%",1,1437500.00
"DISC 50%",2,470000.00
"DISC 50%",3,214500.00
"DISC 50%",4,235000.00
"DISC 50%",5,450000.00
"DISC 50%",6,235000.00
"DISC 50%",9,249500.00
"DISC 50%",10,713500.00
NORMAL,1,39649400.00
NORMAL,2,48873510.00
NORMAL,3,63322600.00
NORMAL,4,172384500.00
NORMAL,5,21535700.00
NORMAL,6,28617700.00
NORMAL,7,19468300.00
NORMAL,8,20358100.00
NORMAL,9,25520600.00
NORMAL,10,29559300.00
"SP 199",7,597000.00
"SP 249",1,13944000.00
"SP 249",2,10209000.00
"SP 249",3,48954000.00
"SP 249",4,86167000.00
"SP 249",5,2388000.00
"SP 259",10,259000.00
"SP 279",6,4464000.00
"SP 279",7,3069000.00
"SP 279",8,8091000.00
"SP 279",9,5301000.00
"SP 279",10,4264000.00
"SP 299",6,5083000.00
"SP 299",7,9568000.00
"SP 299",8,8671000.00
"SP 299",9,9867000.00
"SP 299",10,3368000.00
"SP 340",4,12580000.00
"SP 340",5,2380000.00
"SP 340",6,1360000.00
"SP 390",4,17160000.00
"SP 390",5,4290000.00
"SP 390",6,1170000.00
"SP 390",7,390000.00
"SP 390",8,390000.00
"SP 390",9,1170000.00
"SP 390",10,2220000.00
"SP 430",10,430000.00
"SP 450",4,35100000.00
"SP 450",5,4500000.00
"SP 450",6,4950000.00
"SP 450",7,4950000.00
"SP 450",8,2250000.00
"SP 450",9,3600000.00
"SP 450",10,2580000.00
