Nama_Artikel,Nama_Toko,Bulan_Tahun,Total_Penjualan_Per_Bulan
"SHORT SLEEVE T-SHIRT (CREW NECK) REGULAR","GALERIA BIP BANDUNG","April 2023",520000.00
"LONG SLEEVE T-SHIRT (CREW NECK) REGULAR","GALERIA BIP BANDUNG","February 2023",1153000.00
"LONG SLEEVE KOKO SHIRT REGULAR","GALERIA BIP BANDUNG","February 2023",23325300.00
"5 POCKET PANT DENIM SKINNY","GALERIA BIP BANDUNG","January 2023",40804200.00
"SHORT SLEEVE POLO SHIRT","GALERIA BIP BANDUNG","January 2023",329000.00
"CHINO PANT","GALERIA BIP BANDUNG","January 2023",101235900.00
"5 POCKET SHORT DENIM","GALERIA BIP BANDUNG","January 2023",963200.00
"SHORT SLEEVE KOKO SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",27732100.00
"SWEAT SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",8079600.00
"5 POCKET PANT PIECE DYED REGULAR","GALERIA BIP BANDUNG","January 2023",6415000.00
"TRUCKER JACKET","GALERIA BIP BANDUNG","January 2023",1612800.00
"5 POCKET PANT DENIM SLIM","GALERIA BIP BANDUNG","January 2023",47905700.00
"5 POCKET PANT DENIM","GALERIA BIP BANDUNG","January 2023",63760200.00
"SHORT SLEEVE POLO SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",21465100.00
"CARGO PANT","GALERIA BIP BANDUNG","January 2023",4082000.00
"HENLEY SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",1974000.00
"CHINO SHORT REGULAR","GALERIA BIP BANDUNG","January 2023",20207200.00
"LONG SLEEVE SHIRT","GALERIA BIP BANDUNG","January 2023",5754500.00
"CHINO PANT REGULAR","GALERIA BIP BANDUNG","January 2023",14526700.00
"CARGO SHORT","GALERIA BIP BANDUNG","January 2023",728000.00
"SHORT SLEEVE SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",47534100.00
"LONG SLEEVE SHIRT REGULAR","GALERIA BIP BANDUNG","January 2023",78341170.00
"CARGO SHORT REGULAR","GALERIA BIP BANDUNG","January 2023",9380200.00
"HOODIE JACKET REGULAR","GALERIA BIP BANDUNG","January 2023",3479200.00
"SHORT SLEEVE SHIRT","GALERIA BIP BANDUNG","January 2023",9906540.00
"SHORT SLEEVE T-SHIRT  (CREW NECK)","GALERIA BIP BANDUNG","January 2023",1515300.00
"SHORT SLEEVE T-SHIRT  (CREW NECK) REGULAR","GALERIA BIP BANDUNG","January 2023",24953970.00
"CHINO PANT SLIM","GALERIA BIP BANDUNG","January 2023",26827600.00
"TRUCKER JACKET REGULAR","GALERIA BIP BANDUNG","January 2023",14353300.00
"5 POCKET SHORT DENIM REGULAR","GALERIA BIP BANDUNG","January 2023",14076100.00
"5 POCKET PANT PIECE DYED","GALERIA BIP BANDUNG","January 2023",89368300.00
"CHINO SHORT","GALERIA BIP BANDUNG","January 2023",2354000.00
"5 POCKET PANT DENIM SUPER SKINNY","GALERIA BIP BANDUNG","January 2023",7527900.00
"5 POCKET PANT DENIM REGULAR","GALERIA BIP BANDUNG","March 2023",25138100.00
"BOOMBER JACKET SLIM","GALERIA BIP BANDUNG","October 2023",682800.00
"LONG SLEEVE POLO SHIRT REGULAR","GALERIA BIP BANDUNG","October 2023",197400.00
