Nama_Brand,Bulan_Tahun,Total_Qty_PCS_Per_Bulan
GAB'S,"Jan 2023",169
GAB'S,"Feb 2023",178
GAB'S,"Mar 2023",399
GAB'S,"Apr 2023",1008
GAB'S,"May 2023",104
GAB'S,"Jun 2023",141
GAB'S,"Jul 2023",124
GAB'S,"Aug 2023",131
GAB'S,"Sep 2023",150
GAB'S,"Oct 2023",160
GABRIELLE,"Jan 2023",169
GABRIELLE,"Feb 2023",178
GABRIELLE,"Mar 2023",399
GABRIELLE,"Apr 2023",1008
GABRIELLE,"May 2023",104
GABRIELLE,"Jun 2023",141
GABRIELLE,"Jul 2023",124
GABRIELLE,"Aug 2023",131
GABRIELLE,"Sep 2023",150
GABRIELLE,"Oct 2023",160
"GBL MATAHARI","Jan 2023",169
"GBL MATAHARI","Feb 2023",178
"GBL MATAHARI","Mar 2023",399
"GBL MATAHARI","Apr 2023",1008
"GBL MATAHARI","May 2023",104
"GBL MATAHARI","Jun 2023",141
"GBL MATAHARI","Jul 2023",124
"GBL MATAHARI","Aug 2023",131
"GBL MATAHARI","Sep 2023",150
"GBL MATAHARI","Oct 2023",160
