Nama_Brand,Bulan_Tahun,Total_Rp_Penjualan_Per_Bulan
GAB'S,"Jan 2023",51842300.00
GAB'S,"Feb 2023",56435310.00
GAB'S,"Mar 2023",104926500.00
GAB'S,"Apr 2023",288772700.00
GAB'S,"May 2023",34130100.00
GAB'S,"Jun 2023",45879700.00
GAB'S,"Jul 2023",38042300.00
GAB'S,"Aug 2023",39472100.00
GAB'S,"Sep 2023",45829470.00
GAB'S,"Oct 2023",42879000.00
GABRIELLE,"Jan 2023",51842300.00
GABRIELLE,"Feb 2023",56435310.00
GABRIELLE,"Mar 2023",104926500.00
GABRIELLE,"Apr 2023",288772700.00
GABRIELLE,"May 2023",34130100.00
GABRIELLE,"Jun 2023",45879700.00
GABRIELLE,"Jul 2023",38042300.00
GABRIELLE,"Aug 2023",39472100.00
GABRIELLE,"Sep 2023",45829470.00
GABRIELLE,"Oct 2023",42879000.00
"GBL MATAHARI","Jan 2023",51842300.00
"GBL MATAHARI","Feb 2023",56435310.00
"GBL MATAHARI","Mar 2023",104926500.00
"GBL MATAHARI","Apr 2023",288772700.00
"GBL MATAHARI","May 2023",34130100.00
"GBL MATAHARI","Jun 2023",45879700.00
"GBL MATAHARI","Jul 2023",38042300.00
"GBL MATAHARI","Aug 2023",39472100.00
"GBL MATAHARI","Sep 2023",45829470.00
"GBL MATAHARI","Oct 2023",42879000.00
