Nama_Color,Bulan,Total_Qty_PCS
"BASIC DARK STONE WASH",1,2
"BASIC MEDIUM STONE WASH",1,1
"BASIC MEDIUM STONE WASH",2,1
"BASIC MEDIUM STONE WASH",3,1
"BASIC MEDIUM STONE WASH",4,1
BLACK,1,26
BLACK,2,20
BLACK,3,38
BLACK,4,115
BLACK,5,11
BLACK,6,13
BLACK,7,19
BLACK,8,24
BLACK,9,16
BLACK,10,16
BROWN,1,10
BROWN,2,10
BROWN,3,46
BROWN,4,93
BROWN,5,4
BROWN,6,8
BROWN,7,8
BROWN,8,12
BROWN,9,6
BROWN,10,7
CREAM,1,12
CREAM,2,8
CREAM,3,12
CREAM,4,51
CREAM,5,3
CREAM,6,4
CREAM,7,9
CREAM,8,11
CREAM,9,25
CREAM,10,12
"FANCY DARK STONE WASH",1,1
"FANCY DARK STONE WASH",2,7
"FANCY DARK STONE WASH",3,16
"FANCY DARK STONE WASH",4,58
"FANCY DARK STONE WASH",5,6
"FANCY DARK STONE WASH",6,13
"FANCY DARK STONE WASH",7,10
"FANCY DARK STONE WASH",8,6
"FANCY DARK STONE WASH",9,10
"FANCY DARK STONE WASH",10,14
"FANCY ICE WASH",3,4
"FANCY ICE WASH",4,4
"FANCY ICE WASH",5,1
"FANCY LIGHT STONE WASH",1,1
"FANCY LIGHT STONE WASH",2,1
"FANCY LIGHT STONE WASH",3,5
"FANCY LIGHT STONE WASH",4,10
"FANCY LIGHT STONE WASH",8,1
"FANCY LIGHT STONE WASH",9,3
"FANCY LIGHT STONE WASH",10,3
"FANCY MEDIUM STONE WASH",1,15
"FANCY MEDIUM STONE WASH",2,23
"FANCY MEDIUM STONE WASH",3,58
"FANCY MEDIUM STONE WASH",4,132
"FANCY MEDIUM STONE WASH",5,23
"FANCY MEDIUM STONE WASH",6,19
"FANCY MEDIUM STONE WASH",7,15
"FANCY MEDIUM STONE WASH",8,8
"FANCY MEDIUM STONE WASH",9,14
"FANCY MEDIUM STONE WASH",10,13
GARIS/STRIPE,1,6
GARIS/STRIPE,2,7
GARIS/STRIPE,3,9
GARIS/STRIPE,4,49
GARIS/STRIPE,5,2
GARIS/STRIPE,6,6
GARIS/STRIPE,7,4
GARIS/STRIPE,8,3
GARIS/STRIPE,10,13
"GARMENT WASH",1,3
"GARMENT WASH",2,6
"GARMENT WASH",3,39
"GARMENT WASH",4,29
"GARMENT WASH",5,4
"GARMENT WASH",8,1
"GARMENT WASH",10,1
GREEN,1,2
GREEN,2,10
GREEN,3,26
GREEN,4,72
GREEN,5,1
GREEN,6,6
GREEN,7,3
GREEN,8,4
GREEN,9,5
GREEN,10,7
GREY,1,37
GREY,2,27
GREY,3,45
GREY,4,153
GREY,5,13
GREY,6,21
GREY,7,9
GREY,8,10
GREY,9,20
GREY,10,22
KHAKY,1,8
KHAKY,2,10
KHAKY,3,15
KHAKY,4,41
KHAKY,5,10
KHAKY,6,11
KHAKY,7,9
KHAKY,8,14
KHAKY,9,16
KHAKY,10,8
KOTAK/CHECK,1,14
KOTAK/CHECK,2,12
KOTAK/CHECK,3,18
KOTAK/CHECK,4,42
KOTAK/CHECK,5,4
KOTAK/CHECK,6,11
KOTAK/CHECK,7,14
KOTAK/CHECK,8,9
KOTAK/CHECK,9,17
KOTAK/CHECK,10,25
"LIGHT BLUE",1,1
"LIGHT BLUE",8,1
"LIGHT BLUE",9,1
"MEDIUM BLUE",1,14
"MEDIUM BLUE",2,11
"MEDIUM BLUE",3,39
"MEDIUM BLUE",4,97
"MEDIUM BLUE",5,7
"MEDIUM BLUE",6,14
"MEDIUM BLUE",7,5
"MEDIUM BLUE",8,6
"MEDIUM BLUE",9,6
"MEDIUM BLUE",10,6
ORANGE,2,2
ORANGE,3,5
ORANGE,4,6
ORANGE,6,1
ORANGE,8,1
ORANGE,10,1
OTHERS,1,1
OTHERS,4,1
OTHERS,6,1
OTHERS,7,1
PRINT,1,2
PRINT,2,3
PRINT,3,1
PRINT,4,2
PRINT,5,2
PRINT,6,1
PRINT,7,3
PRINT,8,1
RED,1,6
RED,2,4
RED,3,3
RED,4,8
RED,5,3
RED,6,3
RED,7,3
RED,8,11
RED,9,2
RED,10,1
WHITE,1,2
WHITE,2,10
WHITE,3,15
WHITE,4,35
WHITE,5,9
WHITE,6,8
WHITE,7,11
WHITE,8,6
WHITE,9,6
WHITE,10,8
YELLOW,1,5
YELLOW,2,6
YELLOW,3,4
YELLOW,4,9
YELLOW,5,1
YELLOW,6,1
YELLOW,7,1
YELLOW,8,2
YELLOW,9,3
YELLOW,10,3
