Nama_Color,Bulan,Total_Rp_Penjualan
"BASIC DARK STONE WASH",1,770000.00
"BASIC MEDIUM STONE WASH",1,249000.00
"BASIC MEDIUM STONE WASH",2,271600.00
"BASIC MEDIUM STONE WASH",3,199000.00
"BASIC MEDIUM STONE WASH",4,232800.00
BLACK,1,9101700.00
BLACK,2,6815500.00
BLACK,3,9218800.00
BLACK,4,33446900.00
BLACK,5,3048200.00
BLACK,6,3992000.00
BLACK,7,5384400.00
BLACK,8,6763200.00
BLACK,9,4628300.00
BLACK,10,4691500.00
BROWN,1,3555300.00
BROWN,2,3025500.00
BROWN,3,12666500.00
BROWN,4,27676200.00
BROWN,5,1055400.00
BROWN,6,2251700.00
BROWN,7,2427300.00
BROWN,8,3348000.00
BROWN,9,1823700.00
BROWN,10,1936900.00
CREAM,1,4375700.00
CREAM,2,2989000.00
CREAM,3,3339200.00
CREAM,4,15869500.00
CREAM,5,960700.00
CREAM,6,1156000.00
CREAM,7,2870600.00
CREAM,8,3170300.00
CREAM,9,7372500.00
CREAM,10,3156600.00
"FANCY DARK STONE WASH",1,454300.00
"FANCY DARK STONE WASH",2,5063600.00
"FANCY DARK STONE WASH",3,8668700.00
"FANCY DARK STONE WASH",4,28238600.00
"FANCY DARK STONE WASH",5,2918600.00
"FANCY DARK STONE WASH",6,6215900.00
"FANCY DARK STONE WASH",7,4336700.00
"FANCY DARK STONE WASH",8,2878000.00
"FANCY DARK STONE WASH",9,4105400.00
"FANCY DARK STONE WASH",10,5464800.00
"FANCY ICE WASH",3,796000.00
"FANCY ICE WASH",4,796000.00
"FANCY ICE WASH",5,199000.00
"FANCY LIGHT STONE WASH",1,559300.00
"FANCY LIGHT STONE WASH",2,559300.00
"FANCY LIGHT STONE WASH",3,2975900.00
"FANCY LIGHT STONE WASH",4,4504300.00
"FANCY LIGHT STONE WASH",8,389400.00
"FANCY LIGHT STONE WASH",9,1168800.00
"FANCY LIGHT STONE WASH",10,1170000.00
"FANCY MEDIUM STONE WASH",1,5415700.00
"FANCY MEDIUM STONE WASH",2,8651200.00
"FANCY MEDIUM STONE WASH",3,16469000.00
"FANCY MEDIUM STONE WASH",4,53413300.00
"FANCY MEDIUM STONE WASH",5,9661400.00
"FANCY MEDIUM STONE WASH",6,7375000.00
"FANCY MEDIUM STONE WASH",7,5396400.00
"FANCY MEDIUM STONE WASH",8,2884300.00
"FANCY MEDIUM STONE WASH",9,5277800.00
"FANCY MEDIUM STONE WASH",10,4271400.00
GARIS/STRIPE,1,1439100.00
GARIS/STRIPE,2,2502500.00
GARIS/STRIPE,3,2499800.00
GARIS/STRIPE,4,13734600.00
GARIS/STRIPE,5,558700.00
GARIS/STRIPE,6,1827000.00
GARIS/STRIPE,7,1183400.00
GARIS/STRIPE,8,920000.00
GARIS/STRIPE,10,2771700.00
"GARMENT WASH",1,747000.00
"GARMENT WASH",2,1494000.00
"GARMENT WASH",3,10547000.00
"GARMENT WASH",4,8557000.00
"GARMENT WASH",5,796000.00
"GARMENT WASH",8,479400.00
"GARMENT WASH",10,479400.00
GREEN,1,411600.00
GREEN,2,1931500.00
GREEN,3,7510900.00
GREEN,4,21808000.00
GREEN,5,599000.00
GREEN,6,1984500.00
GREEN,7,784000.00
GREEN,8,1203900.00
GREEN,9,1169700.00
GREEN,10,1837100.00
GREY,1,12014200.00
GREY,2,9245600.00
GREY,3,10878500.00
GREY,4,45014700.00
GREY,5,4260400.00
GREY,6,6241400.00
GREY,7,2588600.00
GREY,8,3025400.00
GREY,9,6095000.00
GREY,10,5518300.00
KHAKY,1,2673300.00
KHAKY,2,3491800.00
KHAKY,3,4996100.00
KHAKY,4,12350400.00
KHAKY,5,2971100.00
KHAKY,6,3533900.00
KHAKY,7,2669000.00
KHAKY,8,4328500.00
KHAKY,9,4930500.00
KHAKY,10,2008300.00
KOTAK/CHECK,1,4623700.00
KOTAK/CHECK,2,4340800.00
KOTAK/CHECK,3,5400200.00
KOTAK/CHECK,4,16001900.00
KOTAK/CHECK,5,1134300.00
KOTAK/CHECK,6,3429100.00
KOTAK/CHECK,7,4782700.00
KOTAK/CHECK,8,3311700.00
KOTAK/CHECK,9,4391300.00
KOTAK/CHECK,10,5723500.00
"LIGHT BLUE",1,234000.00
"LIGHT BLUE",8,299000.00
"LIGHT BLUE",9,299000.00
"MEDIUM BLUE",1,4875400.00
"MEDIUM BLUE",2,2271670.00
"MEDIUM BLUE",3,8824000.00
"MEDIUM BLUE",4,27711300.00
"MEDIUM BLUE",5,3151400.00
"MEDIUM BLUE",6,4219200.00
"MEDIUM BLUE",7,1455900.00
"MEDIUM BLUE",8,1934200.00
"MEDIUM BLUE",9,1915800.00
"MEDIUM BLUE",10,1641300.00
ORANGE,2,558600.00
ORANGE,3,1181200.00
ORANGE,4,1756100.00
ORANGE,6,144000.00
ORANGE,8,162000.00
ORANGE,10,162000.00
OTHERS,1,273000.00
OTHERS,4,270000.00
OTHERS,6,315000.00
OTHERS,7,315000.00
PRINT,1,543200.00
PRINT,2,787640.00
PRINT,3,271600.00
PRINT,4,543200.00
PRINT,5,851200.00
PRINT,6,232800.00
PRINT,7,597000.00
PRINT,8,579600.00
RED,1,1163200.00
RED,2,839600.00
RED,3,740600.00
RED,4,1082300.00
RED,5,767900.00
RED,6,629100.00
RED,7,630600.00
RED,8,2307500.00
RED,9,629700.00
RED,10,257400.00
WHITE,1,370300.00
WHITE,2,3253600.00
WHITE,3,4648500.00
WHITE,4,8108100.00
WHITE,5,2454400.00
WHITE,6,2025100.00
WHITE,7,2356700.00
WHITE,8,1211400.00
WHITE,9,1439200.00
WHITE,10,1651400.00
YELLOW,1,1181900.00
YELLOW,2,1459500.00
YELLOW,3,659600.00
YELLOW,4,2511300.00
YELLOW,5,156000.00
YELLOW,6,308000.00
YELLOW,7,264000.00
YELLOW,8,564300.00
YELLOW,9,582770.00
YELLOW,10,652200.00
