Nama_Divisi,Bulan,Total_Qty_PCS_Per_Bulan
"CASUAL / MAN",1,112
"CASUAL / MAN",2,86
"CASUAL / MAN",3,183
"CASUAL / MAN",4,574
"CASUAL / MAN",5,52
"CASUAL / MAN",6,73
"CASUAL / MAN",7,64
"CASUAL / MAN",8,47
"CASUAL / MAN",9,75
"CASUAL / MAN",10,77
"JEANS / YOUTH BOYS",1,57
"JEANS / YOUTH BOYS",2,92
"JEANS / YOUTH BOYS",3,216
"JEANS / YOUTH BOYS",4,434
"JEANS / YOUTH BOYS",5,52
"JEANS / YOUTH BOYS",6,68
"JEANS / YOUTH BOYS",7,60
"JEANS / YOUTH BOYS",8,84
"JEANS / YOUTH BOYS",9,75
"JEANS / YOUTH BOYS",10,83
