Nama_Divisi,Bulan,Total_Rp_Penjualan
"CASUAL / MAN",1,45753500.00
"CASUAL / MAN",2,35581000.00
"CASUAL / MAN",3,62292000.00
"CASUAL / MAN",4,209617000.00
"CASUAL / MAN",5,21587000.00
"CASUAL / MAN",6,29223000.00
"CASUAL / MAN",7,23530000.00
"CASUAL / MAN",8,17838000.00
"CASUAL / MAN",9,30875000.00
"CASUAL / MAN",10,32055500.00
"JEANS / YOUTH BOYS",1,23580000.00
"JEANS / YOUTH BOYS",2,41240000.00
"JEANS / YOUTH BOYS",3,80072500.00
"JEANS / YOUTH BOYS",4,185158000.00
"JEANS / YOUTH BOYS",5,23509000.00
"JEANS / YOUTH BOYS",6,30992000.00
"JEANS / YOUTH BOYS",7,23938000.00
"JEANS / YOUTH BOYS",8,31799000.00
"JEANS / YOUTH BOYS",9,31350500.00
"JEANS / YOUTH BOYS",10,34488000.00
